occupation_id,skill_id,relation_type
occ_ds,s_python,essential
occ_ds,s_ml,essential
occ_ds,s_stats,essential
occ_ds,s_dl,optional
occ_ds,s_data_viz,essential
occ_ds,s_sql,essential
occ_ds,s_pandas,essential
occ_ds,s_feature_eng,essential
occ_ml_eng,s_python,essential
occ_ml_eng,s_ml,essential
occ_ml_eng,s_dl,essential
occ_ml_eng,s_pandas,essential
occ_ml_eng,s_mlops,essential
occ_ml_eng,s_docker,essential
occ_da,s_python,essential
occ_da,s_sql,essential
occ_da,s_data_viz,essential
occ_da,s_pandas,essential
occ_da,s_stats,essential
occ_da,s_r,optional
occ_se,s_python,essential
occ_se,s_sql,essential
occ_se,s_git,essential
occ_se,s_docker,optional
occ_web,s_python,essential
occ_web,s_sql,optional
occ_web,s_git,essential
